True_Value,Predicted_Value,Set
12.8576,10.553472243300785,Train
16.933,16.481769601162693,Train
4.0754,1.5518914405947921,Train
10.5042,10.755158330413447,Train
10.7338,9.601327464914535,Train
6.7732,11.044307307384498,Train
2.1238,3.133535059027701,Train
2.9274,6.614109868854587,Train
-3.7884,-6.6428772394232105,Train
-8.2656,-7.485230949174872,Train
13.6038,13.655606068276139,Train
15.6702,15.624005767377223,Train
0.1722,-1.4072806472118433,Train
9.5858,11.17158342103567,Train
10.9634,12.80336080539709,Train
2.6978,3.928664675181155,Train
11.4226,10.972968652681484,Train
16.933,16.481769601162693,Train
9.0118,8.993087920332458,Train
4.5346,4.945556110982774,Train
12.8576,18.29809788758108,Train
13.6038,12.19199795907775,Train
4.3624,3.631874287284816,Train
