smiles_1,smiles_2,type,r,k,Unnamed: 5,Unnamed: 6,ring,Unnamed: 8
C[N+](C)C,CCCC,1,0.45,2500,bonds,martini3_ionizable_lipids_repo,BOND_000025,PP_01
CCC,CCCC,1,0.37,5000,bonds,martini3_ionizable_lipids_repo,BOND_000027,B1
CCC,CCCC,1,0.455,5000,bonds,martini3_ionizable_lipids_repo,BOND_000029,MC3
C[N+](C)C,CCCC,1,0.45,3000,bonds,martini3_ionizable_lipids_repo,BOND_000035,RN
C[N+](C)C,CCCCC,1,0.45,4000,bonds,martini3_ionizable_lipids_repo,BOND_000036,RN
CO,CCCC,1,0.37,5000,bonds,martini3_ionizable_lipids_repo,BOND_000037,DBNE
CCO,CCCC,1,0.37,5000,bonds,martini3_ionizable_lipids_repo,BOND_000038,Ester
COC=O,CCCC,1,0.47,5000,bonds,martini3_ionizable_lipids_repo,BOND_000039,EA
CCCC,CC(=O)O,1,0.37,5000,bonds,martini3_ionizable_lipids_repo,BOND_000040,Ester
COC=O,CCCC,1,0.47,2500,bonds,martini3_ionizable_lipids_repo,BOND_000041,AE
CCCC,CC(=O)O,1,0.5,5000,bonds,martini3_ionizable_lipids_repo,BOND_000043,C1_ester_C1
CCCC,CN(C)C,1,0.385,7000,bonds,martini3_lipidome_repo,BOND_000045,HXI
CCC,CCC,1,0.47,5000,bonds,martini3_ionizable_lipids_repo,BOND_000078,DNAE
C[N+](C)C,CCCC,1,0.37,5000,bonds,martini3_ionizable_lipids_repo,BOND_000089,ES
C[N+](C)C,CCCC,1,0.47,2500,bonds,martini3_ionizable_lipids_repo,BOND_000090,DBAE
C[N+](C)C,CCCC,1,0.47,5000,bonds,martini3_ionizable_lipids_repo,BOND_000091,EA
C[N+](C)C,CCCC,1,0.5,2500,bonds,martini3_ionizable_lipids_repo,BOND_000092,AE
C[N+](C)C,CCCC,1,0.52,2500,bonds,martini3_ionizable_lipids_repo,BOND_000093,A3D
COC=O,C.CC,1,0.37,2500,bonds,martini3_ionizable_lipids_repo,BOND_000095,DMG
CC(=O)O,CCCC,1,0.4,2500,bonds,martini3_ionizable_lipids_repo,BOND_000098,DMG
CCCC,CC(=O)O,1,0.42,2500,bonds,martini3_ionizable_lipids_repo,BOND_000099,DBAE
CCCC,CC(=O)O,1,0.45,2500,bonds,martini3_ionizable_lipids_repo,BOND_000100,DBPI
C[N+](C)C,CCCC,1,0.5,5000,bonds,martini3_ionizable_lipids_repo,BOND_000104,LI2
